Stage,Samples,MW_R2,Ring_R2,Atoms_R2,LogP_R2
Early,348,0.9424215840313679,0.8755367398262024,0.9269879460334778,0.8076718074169951
Mid,319,0.9793154789734742,0.9653151631355286,0.9729502201080322,0.9363789618899533
Late,282,0.9904396717386893,0.9968669414520264,0.9903480410575867,0.9711630940460221
