ChEMBL_ID,SMILES
CHEMBL280581,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C4CCC3CNC4)nc21.CS(=O)(=O)O
CHEMBL26325,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CC4CCC(C3)N4)nc21.CS(=O)(=O)O
CHEMBL27177,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(CF)C3)nc21.CS(=O)(=O)O
CHEMBL430739,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CC4CC3CN4)cc21.CS(=O)(=O)O
CHEMBL26024,CN1C2CCC1CN(c1nc3c(cc1F)c(=O)c(C(=O)O)cn3C(C)(C)C)C2.CS(=O)(=O)O
CHEMBL27427,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H](CN)[C@H](F)C3)nc21.CS(=O)(=O)O
CHEMBL284635,CS(=O)(=O)O.C[C@H]1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)C[C@@H]1N
CHEMBL282588,CS(=O)(=O)O.C[C@H]1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)C[C@H]1N
CHEMBL25851,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H](N)[C@H](F)C3)nc21.CS(=O)(=O)O
CHEMBL283015,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H](N)[C@@H](F)C3)nc21.CS(=O)(=O)O
CHEMBL285601,CC[C@H]1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C(C)(C)C)C[C@@H]1N.CS(=O)(=O)O
CHEMBL27521,Cc1cc2c(cc1Cl)N(C(=O)CN1CCN(CCO)CC1)c1ccccc1N(C)S2(=O)=O
CHEMBL32047,CN1C2CC[C@@H]1C[C@H](OC(=O)c1ccccc1)C2C(=O)OCc1ccccc1.O=C(O)/C=C/C(=O)O
CHEMBL283233,COc1cc(N(C)C)c(Cl)cc1C(=O)NCC1CN(Cc2ccccc2)CCO1.O=C(O)/C=C/C(=O)O
CHEMBL31864,COc1cc(N)c(Cl)cc1C(=O)N(C)CC1CN(Cc2ccccc2)CCO1.O=C(O)/C=C/C(=O)O
CHEMBL30478,CN(C)c1c(Cl)cc(C(=O)NCC2CN(Cc3ccccc3)CCO2)c(O)c1Cl.O=C(O)C(=O)O
CHEMBL283601,COc1ccccc1C(=O)NCC1CN(Cc2ccccc2)CCO1.O=C(O)/C=C/C(=O)O
CHEMBL417667,CNc1cc(OC)c(C(=O)NCC2CN(Cc3ccccc3)CCO2)cc1Cl.O=C(O)/C=C/C(=O)O
CHEMBL30772,CN(C)c1cc(O)c(C(=O)NCC2CN(Cc3ccccc3)CCO2)cc1Cl.O=C(O)C(=O)O
CHEMBL30610,COc1cc(C(=O)NCC2CN(Cc3ccccc3)CCO2)cc(OC)c1OC.O=C(O)C(=O)O
CHEMBL30461,O=C(NCC1CN(Cc2ccccc2)CCO1)c1ccc2c(c1)OCO2.O=C(O)/C=C/C(=O)O
CHEMBL30394,O=C(NCC1CN(Cc2ccccc2)CCO1)c1cccc2c1OCO2.O=C(O)/C=C/C(=O)O
CHEMBL33502,CC(=O)[O-].CCn1c(=O)/c(=C2\Sc3ccccc3N2C)s/c1=C\C1=[N+](CC)CCS1
CHEMBL33122,CC(=O)[O-].CCn1c(=O)/c(=C2\SC3=C(CCCC3)N2C)s/c1=C\c1scc[n+]1CC
CHEMBL35263,O=C(O)CN1C(=O)c2cc(Cl)ccc2N(Cc2ccc(Br)cc2F)[S+]1[O-]
CHEMBL289115,CN1C2CCC1CC(NC(=O)NC(=O)c1ccccc1OCC1CC1)C2.O=C(O)/C=C\C(=O)O
CHEMBL39934,CC(C)CCOc1ccccc1C(=O)NC(=O)NC1CC2CCC(C1)N2C.O=C(O)C(=O)O
CHEMBL39621,CC(C)COc1ccccc1C(=O)NC(=O)NC1CC2CCC(C1)N2C.O=C(O)/C=C/C(=O)O
CHEMBL431499,COc1ccccc1C(=O)NC(=O)NC1CC2CCCC(C1)N2C.Cc1ccc(S(=O)(=O)O)cc1
CHEMBL37239,CC(C)Oc1ccccc1C(=O)NC(=O)NC1CC2CCC(C1)N2C.O=C(O)/C=C\C(=O)O
CHEMBL43128,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O
CHEMBL843,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
CHEMBL42338,Cl.Cl.c1cc(N2CCN(c3ccc(C4=NCCCN4)cc3)CC2)ccc1C1=NCCCN1
CHEMBL43268,CCN(CC)CCn1sc2cc(C)cc(C)c2c1=O.O=S(=O)(O)c1ccc2ccccc2c1
CHEMBL45423,O=C(c1ccc(Cl)c(Cl)c1)N1CCC(F)(CNCc2cccc(N3CCC3)n2)CC1
CHEMBL295677,Cc1nn(-c2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(C)c1Br
CHEMBL296504,COc1ccc(N2C[C@H](CN3CCC(O)(c4ccc5c(c4)OC(C)(C)O5)CC3)OC2=O)cc1
CHEMBL297818,CCN(CC)CC1CCCCN1CC(=O)N1c2cc(Cl)ccc2C(=O)Nc2cccnc21
CHEMBL49721,CCN(CC)CC1CCCCN1CC(=O)N1c2ccc(Cl)cc2C(=O)Nc2cccnc21
CHEMBL44773,CN(CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc21)C1CCCCC1
CHEMBL297933,COc1cccc2c1CC1(C2)C[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C(O5)C1=O
CHEMBL299647,C(CN1CC[N+]2(CCCC2)CC1)CN1CC[N+]2(CCCC2)CC1.[Br-].[Br-]
CHEMBL50713,COc1ccc2c(c1)CC1(C2)C[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C(O5)C1=O
CHEMBL299400,O=C(O)C(O)C(O)C(=O)O.Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3
CHEMBL50684,C[C@H]1CC(=O)CC23CCN(CC4CCC4)C(Cc4ccc(O)cc42)[C@H]13.O=C(O)C(O)C(O)C(=O)O
CHEMBL300737,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)[C@@H]2C(=O)[O-].[Na+]
CHEMBL52627,CS(=O)(=O)Nc1ccc2c(c1)C(O)CC1(CCN(C3CCc4cc(C#N)ccc4C3)CC1)O2
CHEMBL52977,COc1cccc(C(=O)N(C)C2CCCC[C@H]2N(C)C)c1.Cc1ccc(S(=O)(=O)O)cc1
CHEMBL293052,C=CCN(C)[C@@H]1CCCCC1N(C)C(=O)c1ccc(Cl)c(Cl)c1.CS(=O)(=O)O
CHEMBL293265,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(/N=N/N2CCOCC2)c1.CS(=O)(=O)O
CHEMBL58510,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O
CHEMBL60041,CCn1c(=O)c2[nH]c(Cc3ccc(Br)cc3)nc2n(CC(C)C)c1=O.O=C(O)C(F)(F)F
CHEMBL61875,CC(C)Cn1c(=O)[nH]c(=O)c2[nH]c(Cc3ccc(Br)cc3)nc21.O=C(O)C(F)(F)F
CHEMBL59727,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]c(Cc3ccc(Br)cc3)nc21.O=C(O)C(F)(F)F
CHEMBL277567,CC(C)N(C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)[C@H](C(=O)O)C1)C(C)C
CHEMBL64223,Cc1ccc(Cl)cc1N1CCN(CC(=O)NC2c3c(O)c(C)cc(C)c3CC2(C)C)CC1
CHEMBL302392,Cc1ccc(N2CCN(CC(=O)NC3c4c(O)c(C)cc(C)c4CC3(C)C)CC2)cc1Cl
CHEMBL59935,COc1cccc(N2CCN(CC(=O)NC3c4c(c(C)cc(C)c4OC)CC3(C)C)CC2)c1
CHEMBL64119,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O
CHEMBL431551,CCNC(=O)CC1C(=O)N(Cc2ccc(Br)cc2F)C(=O)c2ccc(F)cc21
CHEMBL64263,O=C(O)/C=C/C(=O)O.O=C(O)c1ccc2c(c1)/C(=C/CN1CCOCC1)c1ccccc1CO2
CHEMBL62505,CN1CCN(C/C=C2\c3ccccc3COc3ccc(C(=O)O)cc32)CC1.O=C(O)/C=C/C(=O)O
CHEMBL304223,O=C(O)/C=C/C(=O)O.O=C(O)c1ccc2c(c1)/C(=C\CCN1CCCC1)c1ccccc1CO2
CHEMBL264979,CN(C)CC/C=C1/c2ccccc2COc2ccc(/C=C/C(=O)O)cc21.O=C(O)/C=C/C(=O)O
CHEMBL273716,CN1CCN(C/C=C2\c3ccccc3COc3ccc(CC(=O)O)cc32)CC1.O=C(O)/C=C/C(=O)O
CHEMBL63746,O=C(O)/C=C/C(=O)O.O=C(O)c1ccc2c(c1)/C(=C/CN1CCSCC1)c1ccccc1CO2
CHEMBL63596,CCN(CC)CC/C=C1/c2ccccc2COc2ccc(C(=O)O)cc21.O=C(O)/C=C/C(=O)O
CHEMBL292334,CN1CC2CCC1CC2OC(=O)n1c(=O)[nH]c2ccccc21.O=C(O)CC(O)(CC(=O)O)C(=O)O
CHEMBL303463,CN1C2CCCC1CC(OC(=O)n1c(=O)[nH]c3ccccc31)C2.O=C(O)CC(O)(CC(=O)O)C(=O)O
CHEMBL431363,COc1cccc2c(C(=O)NC3C(C)(C)[C@@H]4CC[C@@]3(C)C4)c(C)n(CCN3CCOCC3)c12
CHEMBL445361,CC(=O)NC[C@H]1CN(c2ccc(/C=C(\Br)c3c(C)oc[n+]3C)c(F)c2)C(=O)O1
CHEMBL67840,COc1ccncc1/C(Br)=C/c1ccc(N2C[C@H](CNC(C)=O)OC2=O)cc1F
CHEMBL69975,CC(=O)NC[C@H]1CN(c2ccc(/C=C(\Br)c3cncc(C#N)c3)c(F)c2)C(=O)O1
