checkpoint,exact_match_rate,mean_tanimoto,median_tanimoto,validity_rate,valid_molecules,total_molecules,early_exact_rate,early_tanimoto,mid_exact_rate,mid_tanimoto,late_exact_rate,late_tanimoto
100,0.0,0.11025034102334987,0.10367218987908644,0.946078431372549,386,408,0.0,0.11379197813877487,0.0,0.10700486026470662,0.0,0.10996830225836596
1600,0.012254901960784314,0.31840586084336864,0.19742875859810022,0.946078431372549,386,408,0.0,0.3159716211956797,0.022058823529411766,0.33858295242826714,0.014705882352941176,0.29979187809599156
3100,0.004901960784313725,0.26169146430640466,0.1643835616438356,0.946078431372549,386,408,0.0,0.26400139855589044,0.007352941176470588,0.2789532174266993,0.007352941176470588,0.24119881541687074
4600,0.0024509803921568627,0.21260165269571638,0.14,0.946078431372549,386,408,0.0,0.22968775791408408,0.007352941176470588,0.21662451043850847,0.0,0.1906161483541679
6100,0.0,0.18299848131129076,0.1282051282051282,0.946078431372549,386,408,0.0,0.1929260328880589,0.0,0.16987591856025033,0.0,0.18642627343454235
7600,0.0,0.1715552732967159,0.12643678160919541,0.946078431372549,386,408,0.0,0.18049599219785126,0.0,0.15805036399907954,0.0,0.17641007058345817
